Letter,English,French,German,Spanish,Portuguese,Esperanto,Italian,Turkish,Swedish,Polish,Dutch,Danish,Icelandic,Finnish
a,8.17%,7.64%,6.52%,12.53%,14.63%,12.12%,11.75%,11.68%,9.38%,11.50%,7.49%,6.03%,10.11%,12.22%
b,1.49%,0.90%,1.89%,2.22%,1.04%,0.98%,0.93%,2.95%,1.54%,1.74%,1.58%,2.00%,1.04%,0.28%
c,2.78%,3.26%,2.73%,4.14%,3.88%,0.78%,4.50%,0.97%,1.49%,3.90%,1.24%,0.57%,0,0.28%
d,4.25%,3.67%,5.08%,5.86%,4.99%,3.04%,3.74%,4.87%,4.70%,4.23%,5.93%,5.86%,1.58%,1.04%
e,12.70%,14.72%,17.40%,13.68%,12.57%,9.00%,11.79%,9.01%,10.15%,8.35%,18.91%,15.45%,6.42%,7.97%
f,2.23%,1.07%,1.66%,0.69%,1.02%,1.04%,1.15%,0.44%,2.03%,0.14%,0.81%,2.41%,3.01%,0.19%
g,2.02%,0.87%,3.01%,1.77%,1.30%,1.17%,1.64%,1.34%,2.86%,1.73%,3.40%,4.08%,4.24%,0.39%
h,6.09%,0.74%,4.76%,0.70%,0.78%,0.38%,0.64%,1.15%,2.09%,1.02%,2.38%,1.62%,1.87%,1.85%
i,6.97%,7.53%,7.55%,6.25%,6.19%,10.01%,11.28%,8.274%*,5.82%,9.33%,6.50%,6.00%,7.58%,10.82%
j,0.15%,0.55%,0.27%,0.44%,0.40%,3.50%,0.01%,0.05%,0.61%,1.84%,1.46%,0.73%,1.14%,2.04%
k,0.77%,0.05%,1.42%,0.01%,0.02%,4.16%,0.01%,4.72%,3.14%,2.75%,2.25%,3.40%,3.31%,4.97%
l,4.03%,5.46%,3.44%,4.97%,2.78%,6.15%,6.51%,5.75%,5.28%,3.06%,3.57%,5.23%,4.53%,5.76%
m,2.41%,2.97%,2.53%,3.16%,4.74%,2.99%,2.51%,3.75%,3.47%,2.52%,2.21%,3.24%,4.04%,3.20%
n,6.75%,7.10%,9.78%,6.71%,5.05%,7.96%,6.88%,7.23%,8.54%,6.74%,10.03%,7.24%,7.71%,8.83%
o,7.51%,5.38%,2.59%,8.68%,10.74%,8.78%,9.83%,2.65%,4.48%,7.17%,6.06%,4.64%,2.17%,5.61%
p,1.93%,2.52%,0.67%,2.51%,2.52%,2.75%,3.06%,0.79%,1.84%,2.45%,1.37%,1.76%,0.79%,1.84%
q,0.10%,1.36%,0.02%,0.88%,1.20%,0,0.51%,0,0.02%,0,0.01%,0.01%,0,0.01%
r,5.99%,6.55%,7.00%,6.87%,6.53%,5.91%,6.37%,6.95%,8.43%,5.74%,6.41%,8.96%,8.58%,2.87%
s,6.33%,7.95%,7.27%,7.98%,7.81%,6.09%,4.98%,2.95%,6.59%,6.22%,5.73%,5.81%,5.63%,7.86%
t,9.06%,7.24%,6.15%,4.63%,4.74%,5.28%,5.62%,3.05%,7.69%,2.48%,6.92%,6.86%,4.95%,8.75%
u,2.76%,6.31%,4.35%,3.93%,4.63%,3.18%,3.01%,3.43%,1.92%,2.06%,2.19%,1.98%,4.56%,5.01%
v,0.98%,1.63%,0.85%,1.14%,1.67%,1.90%,2.10%,0.98%,2.42%,0,1.85%,2.33%,2.44%,2.25%
w,2.36%,0.07%,1.92%,0.02%,0.04%,0,0.03%,0.02%,0.14%,6.31%,1.82%,0.07%,0,0.09%
x,0.15%,0.43%,0.03%,0.22%,0.25%,0,0,0.01%,0.16%,0,0.04%,0.03%,0.05%,0.03%
y,1.97%,0.13%,0.04%,1.01%,0.01%,0,0.02%,3.37%,0.71%,3.21%,0.04%,0.70%,0.90%,1.75%
z,0.07%,0.33%,1.13%,0.52%,0.47%,0.49%,1.18%,1.50%,0.07%,5.85%,1.37%,0.03%,0,0.05%
à,0.00%,0.49%,0,0,0.07%,0,0.64%,0,0,0,0,0,0,0
â,0.00%,0.05%,0,0,0.56%,0,0,0,0,0,0,0,0,0
á,0.00%,0,0,0.50%,0.12%,0,0,0,0,0,0,0,1.80%,0
å,0.00%,0,0,0,0,0,0,0,1.34%,0,0,1.19%,0,0.00%
ä,0.00%,0,0.45%,0,0,0,0,0,1.80%,0,0,0,0,3.58%
ã,0.00%,0,0,0,0.73%,0,0,0,0,0,0,0,0,0
?,0.00%,0,0,0,0,0,0,0,0,0.70%,0,0,0,0
æ,0.00%,0,0,0,0,0,0,0,0,0,0,0.87%,0.87%,0
œ,0.00%,0.02%,0,0,0,0,0,0,0,0,0,0,0,0
ç,0.00%,0.09%,0,0,0.53%,0,0,0.83%,0,0,0,0,0,0
?,0.00%,0,0,0,0,0.66%,0,0,0,0,0,0,0,0
